"账号ID","名称","所属分组","本次处理","说明"
"7346","https://ai.tkapi.site/ 0.08","ClaudeCode-Kiro逆向","已删除","调度站当前错误状态"
"7349","https://vip.qimux.com/ 0.13","ClaudeCode-Kiro逆向","已删除","调度站当前错误状态"
"7350","https://api.zayuapi.com/ 0.1","ClaudeCode-Kiro逆向","已删除","调度站当前错误状态"
"7352","https://jinnyapi.com/ 0.4","Claude-Cursor逆向","已删除","连续两轮全部配置模型失败，删除前再次确认；包括余额和权限失败"
"7353","https://codexauv.com/ 0.12","ClaudeCode-Kiro逆向","已删除","调度站当前错误状态"
"7354","https://codexauv.com/ 0.12","ClaudeCode-Kiro逆向","已删除","调度站当前错误状态"
"7355","https://ai.apistation.net/ 0.16","ClaudeCode-Kiro逆向","已删除","调度站当前错误状态"
"7356","https://www.xcmapi.com/ ","ClaudeCode-Kiro逆向","已删除","调度站当前错误状态"
"7359","Himhu4","Grok","已删除","连续两轮全部配置模型失败，删除前再次确认；包括余额和权限失败"
"7362","Himhu3","Grok","已删除","连续两轮全部配置模型失败，删除前再次确认；包括余额和权限失败"
"7363","Himhu2","Grok","已删除","连续两轮全部配置模型失败，删除前再次确认；包括余额和权限失败"
"7364"," Himhu1","Grok","已删除","连续两轮全部配置模型失败，删除前再次确认；包括余额和权限失败"
"7365","Himhu","Grok","已删除","连续两轮全部配置模型失败，删除前再次确认；包括余额和权限失败"
"7368","https://newapi.dragon3api.com/","ClaudeCode-Kiro逆向","已删除","调度站当前错误状态"
"7375","https://site.whyapi.top/","ClaudeCode-Kiro逆向","已删除","调度站当前错误状态"
"7376","https://site.whyapi.top/","ClaudeCode-Max","已删除","调度站当前错误状态"
"7377","https://site.whyapi.top/","ClaudeCode-Max","已删除","调度站当前错误状态"
"7378","https://ai.wulusai.com","Codex | Plus号池","已删除","连续两轮全部配置模型失败，删除前再次确认；包括余额和权限失败"
"7381","https://api.zayuapi.com","ClaudeCode-Kiro逆向","已删除","调度站当前错误状态"
"7382","https://api.zayuapi.com","Codex | Plus号池","已删除","调度站当前错误状态"
"7383","https://api.zayuapi.com","ClaudeCode-Max-C","已删除","连续两轮全部配置模型失败，删除前再次确认；包括余额和权限失败"
"7384","https://lowkeyapi.com/","Codex | Plus号池","已删除","上游明确返回账户余额或预扣费额度不足"
"7386","https://site.whyapi.top/","Codex | Plus号池","已删除","调度站当前错误状态"
"7390","api.nvtokens.com / Chat Completions + Responses","Codex | Pro号池","已删除","调度站当前错误状态"
"7391","https://jinnyapi.com/","Gemini","已删除","调度站当前错误状态"
"7394"," https://api.mouubox.com/","Codex | Sale号池","已删除","调度站当前错误状态"
"7397","yidianaichat.com / Chat Completions + Responses","Codex | Plus号池","已删除","调度站当前错误状态"
"7398","api.novaris.com.cn / Chat Completions + Responses","Codex | Plus号池","已删除","调度站当前错误状态"
"7399","www.airelay.pro / Chat Completions + Responses","Codex | Plus号池","已删除","调度站当前错误状态"
"7401","banliapi.top / Anthropic Messages","ClaudeCode-Kiro逆向","已删除","调度站当前错误状态"
"7402","pool.chaozhiyuanai.com / Chat Completions + Responses","Codex | Plus号池","已删除","调度站当前错误状态"
"7403","routex.best / Anthropic Messages","ClaudeCode-Kiro逆向","已删除","调度站当前错误状态"
"7404","fast.maidoucoding.online / Anthropic Messages","ClaudeCode-Kiro逆向","已删除","调度站当前错误状态"
"7405","newapi.dragon3api.com / Anthropic Messages","ClaudeCode-Kiro逆向","已删除","调度站当前错误状态"
"7406","gpt.mzlone.top / Anthropic Messages","ClaudeCode-Kiro逆向","已删除","调度站当前错误状态"
"7408","https://byecore.com/","Codex | Plus号池","已删除","调度站当前错误状态"
"7411","https://banliapi.top","Codex | Plus号池","已删除","调度站当前错误状态"
"7413","https://api.mouubox.com/","Codex | Plus号池","已删除","调度站当前错误状态"
"7347","https://botcf.com/ 0.12","ClaudeCode-Kiro逆向","旧线路复测成功保留","未满足失败删除条件"
"7358","https://new.linjsonapi.me/","Codex | Plus号池","旧线路复测成功保留","未满足失败删除条件"
"7367","https://api.anc1ent.top/","ClaudeCode-Kiro逆向","旧线路复测成功保留","未满足失败删除条件"
"7370","https://newapi.dragon3api.com/","Codex-image","旧线路待验证保留","未满足失败删除条件"
"7371","https://www.xcmapi.com","Codex-image","旧线路待验证保留","未满足失败删除条件"
